filename,caption,truncated_caption,source,source_type,disease_label,hierarchical_disease_label,skin_concept,body_location,symptoms,age,gender
youtube/nSw7XdNR0bg_frame_35881_3.jpg,"This image depicts Veckus syndrome, a predominantly male disease characterized by clinical diagnoses such as relapsing polychondritis, neutrophilic dermatoses, and forms of vasculitis. It causes subtle chondritis in the ear and nose, often without permanent damage.","This image depicts Veckus syndrome, a predominantly male disease characterized by clinical diagnoses such as relapsing polychondritis, neutrophilic dermatoses, and forms of vasculitis. It causes subtle chondritis in the ear and nose, often without permanent damage.",youtube,edu,vasculitis,vasculitis,No visual concepts,"ear, nose",No symptom information,No age information,male
youtube/7SJ--nNILsI_frame_160_0_0.jpg,"This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific trigger, such as an allergen found in food or environmental pollutants. Treatment options include avoiding the allergen, using over-the-counter creams to reduce inflammation and itching, and consulting a dermatologist for prescription medications if the rash persists.","This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific trigger, such as an allergen found in food or environmental pollutants. Treatment options include avoiding the allergen, using over-the-counter creams to reduce inflammation and itching, and consulting a dermatologist for prescription medications if the rash persists.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",red,"nose, face",No symptom information,No age information,No gender information
pubmed/19_1d_PMC6755624_10.1177_2324709619877050_fig1_2.png,Tuberoeruptive xanthomas observed on the knees and elbows of the patient.,Tuberoeruptive xanthomas observed on the knees and elbows of the patient.,pubmed_english,knowledge,eruptive xanthoma,"proliferations, benign, non-melanocytic, eruptive xanthoma",No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/3b_fd_PMC8024261_41467_2021_22340_Fig1_HTML_10.jpg,Pedigree of Family C shows the occurrence of a previously unknown type of skeletal dysplasia associated with recessive TMEM53 variants.,Pedigree of Family C shows the occurrence of a previously unknown type of skeletal dysplasia associated with recessive TMEM53 variants.,pubmed_fail,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/98_a8_PMC9907656_SRT-28-357-g001_0.jpg,"Multiple, brown, non-scaled macules and patches on the abdomen.","Multiple, brown, non-scaled macules and patches on the abdomen.",pubmed_fail,knowledge,no definitive diagnosis,,"macule, scale, patch",abdomen,No symptom information,No age information,No gender information
pubmed/00_58_PMC5621200_IDOJ-8-361-g003_3.jpg,Periorbital classical lesions seen in Paederus dermatitis.,Periorbital classical lesions seen in Paederus dermatitis.,pubmed_fail,knowledge,dermatitis,"inflammatory, dermatitis",No visual concepts,No body location information,No symptom information,No age information,No gender information
youtube/ZV3lmTHN3_w_frame_51138_2.jpg,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and ointments to reduce inflammation and itching.","This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and ointments to reduce inflammation and itching.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
"note/Klaus Wolff, Lowell Goldsmith, Stephen Katz, Barbara Gilchrest, Amy Paller, D-部分3_00361_17625_0.png",Bloom syndrome: Prominent,Bloom syndrome: Prominent,textbook_fail,knowledge,bloom syndrome,bloom syndrome,No visual concepts,No body location information,No symptom information,No age information,No gender information
youtube/jJjxGxhcjpU_frame_15202_0_0.jpg,"This image shows a patient with a skin disease characterized by red, itchy patches on their skin. The cause of this condition is an allergic reaction to a particular substance, and treatment options include topical creams and avoiding the allergen.","This image shows a patient with a skin disease characterized by red, itchy patches on their skin. The cause of this condition is an allergic reaction to a particular substance, and treatment options include topical creams and avoiding the allergen.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
youtube/qW99IuAPApU_frame_23492_2.jpg,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and avoiding the allergen.","This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and avoiding the allergen.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
