sample_id,filename,ground_truth,method,prediction,exact_match,hierarchical_similarity,tree_distance,common_ancestor,confidence,reasoning_summary
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,baseline_labels,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.0,"The image does not depict human skin but appears to be of an animal, likely a horse. It shows the back and tail area with different hair colors indicated by arrows."
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,baseline_labels,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.5,"The image shows the neck and upper chest area of a person undergoing a procedure with a device applied to the skin. The skin appears red and possibly inflamed, suggesting recent treatment. The appeara"
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,baseline_labels,Median nail dystrophy,0,0.0,-1,,0.9,"The image depicts a fingernail with a central split or depression extending from the cuticle to the free edge, characteristic of median nail dystrophy."
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,baseline_labels,Contact dermatitis,0,0.0,-1,,0.8,"The image shows a well-demarcated area of erythema and scaling on the lower half of the face, consistent with contact dermatitis."
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,baseline_labels,Basal cell carcinoma,0,0.0,-1,,0.9,"The image shows a raised, pearly lesion with telangiectasia on the surface, indicative of basal cell carcinoma."
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,baseline_labels,Acute generalized exanthematous pustulosis,0,0.4,3,non-infectious,0.9,"The image shows a widespread eruption of pustules on a red, inflamed background, primarily located on the arm."
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,baseline_labels,Keratosis pilaris,0,0.0,6,root,0.9,"The image shows the posterior aspect of an upper arm with small, folliculocentric keratotic papules which are consistent with keratosis pilaris. The skin appears to have a fine-grained texture commonl"
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,baseline_labels,Onychomycosis,0,0.0,6,root,0.8,"The image shows discoloration and thickening of the toenails along with scaling and redness on the surrounding toes, suggesting a fungal infection of the nails."
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,baseline_labels,Psoriasis,0,0.4,3,non-infectious,0.9,"The image shows thick, scaly, and plaque-like lesions extensively covering the chest and upper arms, characteristic of psoriasis."
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,baseline_labels,burn of skin,0,0.0,7,root,0.8,"The image shows an area of red and inflamed skin on the face, likely consistent with a burn."
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_labels,Seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.9,"The image shows multiple well-circumscribed, brown, wart-like lesions with a 'stuck-on' appearance on the skin of the torso."
11,youtube/KC3Yyxprz20_frame_10935_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_labels,Spider veins,0,0.0,7,root,0.9,"The image shows prominent, superficial veins resembling a web-like pattern on the lower leg, consistent with spider veins. A medical procedure involving injection is being administered, likely to trea"
12,youtube/s0YmSISoUug_frame_3817_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_labels,no definitive diagnosis,0,0.0,-1,,0.9,The image shows an eyelid with eyelashes. No clear skin lesion or condition is visible.
13,youtube/v3Hn2eplsiw_frame_67623_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_labels,no definitive diagnosis,0,0.0,-1,,0.6,The image shows a close-up view of skin with multiple erythematous papules and some scaling. The presentation is suggestive but not conclusive of a specific dermatological condition from the given lis
14,note/Sewon-Kang-Fitzpatrick’s-Dermatology[2-Volume Set]-McGraw-Hil-Education(2019)-part8_00290_03575_0.png,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_labels,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows an irregular, reddish lesion on the forehead with surrounding yellowish discoloration. The exact nature of the lesion is uncertain without further diagnostic information."
