sample_id,filename,ground_truth,hierarchical_gt,m1_pred,m1_exact,m1_dist,m1_conf,m2_pred,m2_exact,m2_dist,m2_conf,m3_pred,m3_exact,m3_dist,m3_conf,m4_pred,m4_exact,m4_dist,m4_conf,m5_pred,m5_exact,m5_dist,m5_conf,best_method
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,nan,no definitive diagnosis,1,0,0.0,no definitive diagnosis,1,0,0.0,no definitive diagnosis,1,0,0.0,no definitive diagnosis,1,0,0.5,no definitive diagnosis,1,0,0.5,m1/m2/m3/m4/m5
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,no definitive diagnosis,no definitive diagnosis,1,0,0.0,no definitive diagnosis,1,0,0.5,no definitive diagnosis,1,0,0.7,no definitive diagnosis,1,0,0.5,no definitive diagnosis,1,0,0.5,m1/m2/m3/m4/m5
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,nan,Beau's lines,0,-1,0.9,Median nail dystrophy,0,-1,0.9,Melanonychia,0,-1,0.8,no definitive diagnosis,1,0,0.5,no definitive diagnosis,1,0,0.0,m4/m5
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,nan,Contact dermatitis,0,-1,0.8,Contact dermatitis,0,-1,0.8,no definitive diagnosis,1,0,0.6,Polymorphous light eruption,0,-1,0.5,no definitive diagnosis,1,0,0.5,m3/m5
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,no definitive diagnosis,Basal cell carcinoma,0,-1,0.9,Basal cell carcinoma,0,-1,0.9,Basal Cell Carcinoma,0,-1,0.9,Basal cell carcinoma,0,-1,0.5,no definitive diagnosis,1,0,0.5,m5
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",Pustular psoriasis,0,4,0.9,Acute generalized exanthematous pustulosis,0,3,0.9,no definitive diagnosis,0,-1,0.6,Inflammatory dermatosis,0,4,0.5,no definitive diagnosis,0,-1,0.5,m2
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",Keratosis pilaris,0,6,0.9,Keratosis pilaris,0,6,0.9,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",Onychomycosis,0,6,0.8,Onychomycosis,0,6,0.8,no definitive diagnosis,0,-1,0.6,Onychomycosis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",Psoriasis,0,3,0.8,Psoriasis,0,3,0.9,no definitive diagnosis,0,-1,0.7,Pyoderma,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",Burn of skin,0,7,0.8,burn of skin,0,7,0.8,no definitive diagnosis,0,-1,0.4,Cellulitis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m4
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",Seborrheic keratosis,0,1,0.9,Seborrheic keratosis,0,1,0.9,seborrheic keratosis,0,1,0.8,Seborrheic keratosis,0,1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m3/m4
11,youtube/KC3Yyxprz20_frame_10935_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",Spider veins,0,7,0.9,Spider veins,0,7,0.9,telangiectasia,0,-1,0.9,Actinic solar damage(telangiectasia),0,7,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
12,youtube/s0YmSISoUug_frame_3817_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.9,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
13,youtube/v3Hn2eplsiw_frame_67623_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
14,note/Sewon-Kang-Fitzpatrick’s-Dermatology[2-Volume Set]-McGraw-Hil-Education(2019)-part8_00290_03575_0.png,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",Basal cell carcinoma,0,3,0.9,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.7,Basal cell carcinoma,0,3,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
15,IIYI/66_1.png,psoriasis,"inflammatory, non-infectious, psoriasis",Psoriasis (plaque),0,1,0.9,"Chronic dermatitis, NOS",0,3,0.85,eczema,0,2,0.8,Psoriasis,0,0,0.5,no definitive diagnosis,0,-1,0.5,m4
16,youtube/o1YUsJxsHdU_frame_138268_1.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",Stasis dermatitis,0,2,0.8,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1
17,youtube/7yKeNoCB8_E_frame_33920_1.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
18,youtube/iIhr9-LwS5Q_frame_11211_9.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.2,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.0,none
19,youtube/Xl3sMLqhK30_frame_29964_5.jpg,psoriasis,"inflammatory, non-infectious, psoriasis","Angioma, Hemangioma",0,7,0.8,spider veins,0,5,0.9,no definitive diagnosis,0,-1,0.5,Angiokeratoma,0,7,0.5,no definitive diagnosis,0,-1,0.5,m2
20,public/5453977556464879778.png,eczema,"inflammatory, non-infectious, eczema",Insect bite,0,5,0.8,Insect bite,0,5,0.8,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
21,youtube/Z3Oa5mxfCOw_frame_15078_0_0.jpg,eczema,"inflammatory, non-infectious, eczema",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
