sample_id,filename,ground_truth,hierarchical_gt,m1_pred,m1_exact,m1_dist,m1_conf,m2_pred,m2_exact,m2_dist,m2_conf,best_method
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,nan,no definitive diagnosis,1,0,1.0,no definitive diagnosis,1,0,1.0,m1/m2
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,no definitive diagnosis,no definitive diagnosis,1,0,0.7,no definitive diagnosis,1,0,0.7,m1/m2
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,nan,no definitive diagnosis,1,0,0.6,no definitive diagnosis,1,0,0.6,m1/m2
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,nan,no definitive diagnosis,1,0,0.6,photoallergic dermatitis,0,-1,0.8,m1
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,no definitive diagnosis,basal cell carcinoma,0,-1,0.9,basal cell carcinoma,0,-1,0.9,none
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",psoriasis,0,3,0.9,psoriasis,0,3,0.85,m1/m2
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",no definitive diagnosis,0,-1,0.6,keratosis pilaris,0,6,0.9,m2
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.6,none
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",ichthyosis vulgaris,0,-1,0.8,no definitive diagnosis,0,-1,0.6,none
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,none
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",suspected seborrheic keratosis,0,-1,0.9,seborrheic keratosis,0,1,0.9,m2
11,youtube/KC3Yyxprz20_frame_10935_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",spider veins,0,7,0.9,spider veins (telangiectasia),0,-1,0.95,m1
12,youtube/s0YmSISoUug_frame_3817_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.7,none
